Phred score	Error probability	Number of bases with score
0	1.0	0
1	0.7943282347242815	0
2	0.6309573444801932	10654
3	0.5011872336272722	0
4	0.3981071705534972	0
5	0.31622776601683794	0
6	0.251188643150958	0
7	0.19952623149688797	0
8	0.15848931924611134	212646
9	0.12589254117941673	0
10	0.1	0
11	0.07943282347242814	0
12	0.06309573444801933	2067042
13	0.05011872336272722	0
14	0.039810717055349734	0
15	0.03162277660168379	0
16	0.025118864315095794	0
17	0.0199526231496888	0
18	0.015848931924611134	0
19	0.012589254117941675	0
20	0.01	0
21	0.007943282347242814	0
22	0.00630957344480193	1105356
23	0.005011872336272725	0
24	0.003981071705534973	0
25	0.0031622776601683794	0
26	0.0025118864315095794	0
27	0.001995262314968879	1122814
28	0.001584893192461114	0
29	0.0012589254117941675	0
30	0.001	0
31	0.0007943282347242813	0
32	0.000630957344480193	3026585
33	0.0005011872336272725	0
34	0.00039810717055349735	0
35	0.00031622776601683794	0
36	0.00025118864315095795	0
37	0.00019952623149688788	6301132
38	0.00015848931924611142	0
39	0.00012589254117941674	0
40	0.0001	0
41	7.943282347242822e-05	66987678
